REMARK ROI 2D Peak Detection System, File: ./ft/test001.ft2
REMARK Detection Levels: -9.68962e+09 and 9.68962e+06
REMARK Detection: X(+/-1) Y(+/-1)
REMARK Interpolation: X(+/-1) Y(+/-1)
REMARK Noise: 735066, Chi2-Threshold: 1.000000e-04, Local Adjustment: None
REMARK Position Tolerances: X(2.3) Y(2.0)
REMARK Sinc Detect ON, Height Adjustments: X(1.200) Y(1.800)
REMARK Sinc Detect Linewidths: X(15.0Hz) Y(5.0Hz)
REMARK Total Peaks: 135, Good Peaks: 135, Questionable Peaks: 0
REMARK Clusters: 81, Max Cluster Size: 14
REMARK ROI Spectral Axis Limits:

DATA  X_AXIS 1H           1   617    6.998ppm    3.992ppm
DATA  Y_AXIS 13C          1  1026  105.963ppm   89.385ppm

VARS   INDEX X_AXIS Y_AXIS DX DY X_PPM Y_PPM X_HZ Y_HZ XW YW XW_HZ YW_HZ X1 X3 Y1 Y3 HEIGHT DHEIGHT VOL PCHI2 TYPE ASS CLUSTID MEMCNT
FORMAT %5d %9.3f %9.3f %6.3f %6.3f %8.3f %8.3f %9.3f %9.3f %7.3f %7.3f %8.3f %8.3f %4d %4d %4d %4d %+e %+e %+e %.5f %d %s %4d %4d

  40   322.689   478.719  0.708  0.251    5.428   98.237  4072.872 18535.188   6.026   3.977   22.068   12.137  319  327  477  481  2.679474e+07  5.583998e+05  6.874349e+08 0.00000 1 None   26   10
  41   256.844   483.358  0.771  0.510    5.750   98.162  4314.004 18521.031   6.888   5.131   25.226   15.659  253  262  479  487  2.480711e+07  5.551856e+05  1.490030e+09 0.00000 1 None   29   10
  42   264.439   483.279  1.346  0.534    5.713   98.163  4286.189 18521.271   7.588   5.864   27.789   17.894  259  269  479  487  2.730423e+07  5.549469e+05  1.849785e+09 0.00000 1 None   29   10
  43   285.615   482.516  1.948  1.800    5.609   98.175  4208.639 18523.602   5.987   5.750   21.927   17.547  285  287  479  483  1.096314e+07  5.614787e+05  1.755055e+08 0.00000 1 None   26   10
  44   212.675   485.987  1.504  0.732    5.965   98.119  4475.753 18513.006   6.199   5.670   22.702   17.303  211  215  485  487  1.337098e+07  5.523453e+05  1.728971e+08 0.00000 1 None   30    1
  45   229.823   486.184  1.151  0.540    5.882   98.116  4412.957 18512.408   7.306   5.361   26.755   16.360  227  235  484  490  1.900312e+07  5.512073e+05  8.985926e+08 0.00000 1 None   31    3
  46   234.751   488.916  1.328  0.522    5.858   98.072  4394.911 18504.068   7.477   5.670   27.381   17.303  230  239  485  493  1.934196e+07  5.500464e+05  1.294891e+09 0.00000 1 None   31    3
  47   265.874   490.296  0.547  0.425    5.706   98.049  4280.936 18499.859   7.967   6.617   29.175   20.193  260  272  485  495  4.434320e+07  5.509801e+05  3.645752e+09 0.00000 1 None   29   10
  48   230.660   491.969  4.428  0.570    5.878   98.022  4409.892 18494.754   9.188   5.526   33.648   16.863  227  237  488  494  1.654264e+07  5.549827e+05  1.083018e+09 0.00000 1 None   31    3
  49   363.948   491.754  0.270  0.132    5.227   98.026  3921.776 18495.408   7.200   4.775   26.368   14.573  359  369  489  495  6.842156e+07  5.518582e+05  2.830840e+09 0.00000 1 None   32    2
